10.19.119.246 - - [18/Nov/2025:15:40:13 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.246 - - [18/Nov/2025:15:40:13 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.246 - - [18/Nov/2025:15:40:13 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
10.19.119.246 - - [18/Nov/2025:15:40:13 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
10.19.119.246 - - [18/Nov/2025:15:40:13 +0000] "POST /identity/v3/projects HTTP/1.1" 201 555 "-" "python-keystoneclient"
10.19.119.246 - - [18/Nov/2025:15:40:14 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.246 - - [18/Nov/2025:15:40:14 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.246 - - [18/Nov/2025:15:40:14 +0000] "POST /identity/v3/roles HTTP/1.1" 409 392 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.246 - - [18/Nov/2025:15:40:14 +0000] "GET /identity/v3/roles/service HTTP/1.1" 404 337 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.246 - - [18/Nov/2025:15:40:14 +0000] "GET /identity/v3/roles?name=service HTTP/1.1" 200 595 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
